_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
325.0877486835122	-23.2271116688559	325.08775359425	0.8664	-23.22714015498	0.9732	6816574863572163072	-0.2254	0.8408	1.048	1.486	-6.616	1.455	0	1.7337e+02	1.0834e+00	20.0909	0.0068	1.4924e+02	1.0621e+01	19.9167	0.0773	1.5039e+02	1.2878e+01	19.3189	0.0930	0.5978							
325.1027662358096	-23.2331572522523	325.10279467230	1.5104	-23.23315914302	1.5521	6816574794852687616	-2.8630	1.4759	6.069	2.623	-0.439	2.273	0	1.0493e+02	9.5373e-01	20.6361	0.0099	1.7629e+02	7.4686e+01	19.7358	0.4600	1.2043e+02	1.5478e+01	19.5601	0.1395	0.1757							
325.0877068359654	-23.2262506940982	325.08771874301	1.6758	-23.22627047065	1.5728	6816574863572164480	-1.2621	2.4562	2.541	2.477	-4.593	2.708	0	1.0515e+02	1.0670e+00	20.6338	0.0110	8.4844e+01	1.4802e+01	20.5298	0.1894	1.1108e+02	7.7710e+00	19.6478	0.0760	0.8820							
325.0851510858126	-23.2281996250846	325.08515474785	1.6777	-23.22823506424	1.4620	6816574863572160896	0.7694	1.5202	0.782	2.882	-8.231	2.234	0	1.1427e+02	1.0760e+00	20.5436	0.0102	1.3671e+02	1.2836e+01	20.0119	0.1019	9.7174e+01	7.7692e+00	19.7930	0.0868	0.2189							
325.0814332010252	-23.2269642870393	325.08142676253	1.1246	-23.22698217040	1.0373	6816574863572160512	1.1991	1.1221	-1.374	1.961	-4.154	1.582	0	1.5036e+02	1.2373e+00	20.2455	0.0089																
325.0968256620724	-23.2338547323370	325.09682566207	2.3339	-23.23385473234	1.3635	6816574794852683904							0	1.0752e+02	9.2614e-01	20.6097	0.0094	7.6903e+01	1.0688e+01	20.6365	0.1509	9.5478e+01	1.5889e+01	19.8122	0.1807	0.8244							
325.0914365551148	-23.2286755281798	325.09144646861	0.5174	-23.22869972897	0.5953	6816574859277193984	-0.1762	0.6051	2.116	0.926	-5.621	0.909	0	2.7542e+02	1.1952e+00	19.5884	0.0047	4.2939e+02	1.4428e+01	18.7693	0.0365	3.9260e+02	1.3972e+01	18.2771	0.0386	0.4922							
325.0797356984478	-23.2254352853998	325.07973508392	0.6955	-23.22546921815	0.7387	6816574863572161408	0.6455	0.7631	-0.131	1.200	-7.881	1.126	0	2.1808e+02	1.0305e+00	19.8418	0.0051	1.7252e+02	1.2332e+01	19.7593	0.0776	1.8370e+02	1.4245e+01	19.1016	0.0842	0.6577							
325.0776196964867	-23.2246714493737	325.07759362717	1.6064	-23.22470627689	0.9113	6816574863572161024	1.4971	1.4635	-5.564	2.817	-8.089	1.383	0	1.8825e+02	1.0617e+00	20.0015	0.0061	1.5912e+02	1.5654e+01	19.8471	0.1068	1.3021e+02	1.7070e+01	19.4753	0.1423	0.3717							
325.1002765751164	-23.2303011167183	325.10027234243	0.0696	-23.23033205419	0.0766	6816574790557717504	0.0347	0.0784	-0.903	0.124	-7.185	0.114	0	6.1512e+03	3.6370e+00	16.2160	0.0006	3.2084e+03	1.6925e+01	16.5857	0.0057	4.4978e+03	1.4928e+01	15.6294	0.0036	0.9562			5124.23				
325.0805348423088	-23.2249108232327	325.08053817741	0.7038	-23.22493825490	0.7374	6816574863572162048	0.0342	0.7753	0.712	1.234	-6.371	1.128	0	2.3471e+02	1.1035e+00	19.7620	0.0051	1.7935e+02	1.0016e+01	19.7171	0.0606	1.6308e+02	1.2420e+01	19.2309	0.0827	0.4862							
325.0960039694949	-23.2336053576647	325.09600396949	3.6967	-23.23360535766	4.9350	6816574794853642624							0	9.2325e+01	1.1946e+00	20.7751	0.0140	6.6900e+01	1.2501e+01	20.7878	0.2029	5.0213e+01	1.1996e+01	20.5099	0.2594	0.2780							
