_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
325.1113967241739	-23.2013293055311	325.11138870684	0.5197	-23.20134329470	0.5647	6816580773446125440	1.0970	0.6134	-1.711	0.979	-3.249	0.908	0	3.1781e+02	1.8602e+00	19.4330	0.0064	5.4481e+02	1.0563e+02	18.5108	0.2105	4.2663e+02	4.6485e+01	18.1868	0.1183	0.3240							
325.1073115758142	-23.2038677111217	325.10731157581	20.6785	-23.20386771112	25.2375	6816580773448115712							0	9.0415e+01	1.2597e+00	20.7978	0.0151																
325.1111506531637	-23.2012453181143	325.11115065316	20.9755	-23.20124531811	25.6430	6816580773446125312							0	8.0345e+01	1.7243e+00	20.9260	0.0233																
325.1074680255202	-23.2034864967990	325.10746802552	19.8942	-23.20348649680	30.2619	6816580773448115584							0	9.3553e+01	2.7936e+00	20.7607	0.0324																
325.1106963972002	-23.2024597272090	325.11069123338	0.5089	-23.20249508850	0.5876	6816580773446126080	0.8086	0.6116	-1.102	0.916	-8.213	0.903	0	2.8928e+02	1.1639e+00	19.5351	0.0044	2.8902e+02	1.5917e+01	19.1991	0.0598	3.0624e+02	1.4137e+01	18.5468	0.0501	0.6523							
325.1112639214000	-23.2016640010564	325.11126392140	21.4883	-23.20166400106	25.4309	6816580773446125568							0	1.2720e+02	1.4953e+00	20.4272	0.0128																
325.1114293219167	-23.2000853875628	325.11142932192	45.2639	-23.20008538756	36.4712	6816580773446129536							0	1.4213e+02	1.7386e+00	20.3067	0.0133																
325.1106717697317	-23.2008118460848	325.11066967902	0.4119	-23.20083826657	0.4642	6816580773446130560	-0.4933	0.5318	-0.446	0.756	-6.136	0.697	0	4.0885e+02	1.3133e+00	19.1594	0.0035	4.8402e+02	1.7526e+01	18.6392	0.0393	5.0357e+02	1.4263e+01	18.0068	0.0308	0.6325							
325.1008193527398	-23.2022524290633	325.10081313362	0.1073	-23.20228286672	0.1104	6816580975310728832	0.2801	0.1144	-1.328	0.191	-7.069	0.168	0	5.3109e+03	4.6776e+00	16.3755	0.0010	2.8966e+03	1.5680e+01	16.6967	0.0059	3.9678e+03	1.6590e+01	15.7655	0.0045	0.9311			5412.98	1.7495	0.8735		
325.1102614817431	-23.2013682824980	325.11026148174	2.2942	-23.20136828250	3.4471	6816580773446131328							0	2.2825e+02	1.1296e+00	19.7924	0.0054	2.7028e+02	1.9609e+01	19.2719	0.0788	2.4614e+02	1.4696e+01	18.7840	0.0648	0.4879							
325.1044791770875	-23.2001761677804	325.10447344421	0.1246	-23.20020957513	0.1375	6816580769152299904	0.1826	0.1518	-1.224	0.228	-7.759	0.212	0	2.1277e+03	2.1592e+00	17.3686	0.0011	1.3869e+03	2.8078e+01	17.4962	0.0220	1.8668e+03	5.0644e+01	16.5841	0.0295	0.9121							
325.1105596822410	-23.2005472790101	325.11055968224	4.7549	-23.20054727901	6.5685	6816580773446130688							0	1.3323e+02	1.4164e+00	20.3769	0.0115																
325.1085575886533	-23.2000072840718	325.10855758865	1.7904	-23.20000728407	2.6557	6816580773446148736							0	2.8622e+02	1.3199e+00	19.5466	0.0050	2.9134e+02	1.7807e+01	19.1904	0.0664	2.8233e+02	1.0953e+01	18.6350	0.0421	0.5554							
325.1091501848551	-23.1983532913432	325.10914776792	0.1806	-23.19838536697	0.1959	6816580773446149504	0.1592	0.2242	-0.516	0.331	-7.450	0.303	0	1.1438e+03	2.8867e+00	18.0424	0.0027	1.0080e+03	2.7133e+01	17.8427	0.0292	1.1052e+03	1.7781e+01	17.1533	0.0175	0.6894							
325.1089864530253	-23.1989475374896	325.10898714980	0.2676	-23.19897440852	0.3005	6816580773446149248	-0.5397	0.3217	0.149	0.484	-6.241	0.464	0	6.5967e+02	1.7664e+00	18.6401	0.0029	6.2466e+02	2.2927e+01	18.3623	0.0398	5.7760e+02	1.6162e+01	17.8579	0.0304	0.5044							
325.0980124077019	-23.2059499996120	325.09801240770	2.9331	-23.20594999961	3.9216	6816580773448111104							1	1.3991e+02	1.7673e+00	20.3237	0.0137	2.7056e+02	1.7030e+01	19.2707	0.0683	2.0281e+02	2.8184e+00	18.9942	0.0151	0.2766							
325.1078438258432	-23.1987211677902	325.10784240626	0.3413	-23.19875457507	0.3876	6816580773446155648	0.1735	0.4034	-0.303	0.613	-7.759	0.594	0	4.9242e+02	1.4577e+00	18.9575	0.0032	5.3712e+02	4.2035e+01	18.5262	0.0850	5.3391e+02	2.6437e+01	17.9432	0.0538	0.5830							
325.1075497674542	-23.2042792976705	325.10754627411	0.4210	-23.20431187120	0.3326	6816580773446140416	-0.5844	0.5384	-0.746	0.775	-7.565	0.520	0	5.9388e+02	1.4108e+00	18.7541	0.0026	6.7571e+02	3.5114e+01	18.2770	0.0564	6.1904e+02	2.0384e+01	17.7826	0.0358	0.4944							
325.1080403226511	-23.2028902534956	325.10805226584	0.4260	-23.20292456904	0.4734	6816580773446141696	-0.0177	0.5178	2.550	0.784	-7.970	0.724	1	7.1221e+02	3.9781e+00	18.5569	0.0061	7.1500e+02	1.3377e+01	18.2156	0.0203	7.8261e+02	1.4601e+01	17.5281	0.0203	0.6876							
325.1076612499530	-23.2020710814171	325.10767085133	0.4789	-23.20209397768	0.5417	6816580773446144512	-0.7099	0.5698	2.050	0.858	-5.318	0.835	0	3.2337e+02	1.2477e+00	19.4141	0.0042	3.0803e+02	1.4183e+01	19.1299	0.0500	3.6005e+02	8.5139e+00	18.3710	0.0257	0.7589							
325.0988919368604	-23.2059827431952	325.09888644794	0.3300	-23.20601498893	0.3482	6816580773448294400	0.7194	0.3448	-1.172	0.570	-7.489	0.532	0	6.2821e+02	1.4266e+00	18.6931	0.0025	5.2815e+02	1.8719e+01	18.5445	0.0385	5.1984e+02	1.3272e+01	17.9722	0.0277	0.5723							
325.0992017701369	-23.2048366311422	325.09919929908	0.0716	-23.20486721543	0.0777	6816580773448295680	-0.0603	0.0868	-0.527	0.131	-7.103	0.119	0	8.1863e+03	4.5062e+00	15.9056	0.0006	6.3157e+03	3.3429e+01	15.8503	0.0057	3.6919e+03	1.5884e+01	15.8438	0.0047	0.0065			9534.33				
325.1020186507408	-23.2050675525339	325.10201865074	35.0379	-23.20506755253	26.4195	6816580773447815808							0	8.6802e+01	1.1520e+00	20.8420	0.0144	1.1523e+02	5.9553e+01	20.1975	0.5611	5.9169e+01	5.4430e+01	20.3317	0.9988	-0.1342							
325.1045165380663	-23.2019702523458	325.10451653807	23.0312	-23.20197025235	26.6198	6816580773447813760							0	9.2024e+01	1.4214e+00	20.7786	0.0168																
325.0964425179430	-23.2063430511838	325.09644251794	1.7889	-23.20634305118	1.3712	6816580739086487808							0	3.5105e+02	2.4834e+00	19.3249	0.0077	5.9963e+02	3.4439e+01	18.4067	0.0624	6.2976e+02	1.6779e+01	17.7640	0.0289	0.6427							
325.0966973251847	-23.2064902302804	325.09669732518	36.4726	-23.20649023028	41.7256	6816580773446225920							0	9.1034e+01	2.6899e+00	20.7904	0.0321																
325.0979078265440	-23.2054710930239	325.09790782654	22.9846	-23.20547109302	11.7612	6816580773447817600							0	9.3263e+01	1.6331e+00	20.7641	0.0190																
325.1015269289776	-23.2065049540088	325.10152692898	20.1254	-23.20650495401	24.7181	6816580773447817472							0	1.1815e+02	1.1349e+00	20.5073	0.0104																
325.1017783961512	-23.2038940140782	325.10177839615	0.7669	-23.20389401408	0.8443	6816580773448289152							0	6.7664e+02	4.4585e+00	18.6125	0.0072	6.6575e+02	1.5861e+01	18.2931	0.0259	7.1019e+02	1.7804e+01	17.6335	0.0272	0.6596							
325.1099668385357	-23.1992575688650	325.10996683854	1.8286	-23.19925756887	2.7525	6816580773446141952							0	2.9812e+02	1.2450e+00	19.5024	0.0045																
325.1106085283401	-23.2016953360269	325.11060852834	3.6136	-23.20169533603	5.0992	6816580773447923200							0	1.3178e+02	1.1114e+00	20.3887	0.0092																
325.1098407869515	-23.1984538475182	325.10984078695	3.7418	-23.19845384752	6.4303	6816580773446139904							0	1.7138e+02	1.6868e+00	20.1035	0.0107																
325.0997436593336	-23.2057859158425	325.09974291565	0.2136	-23.20581601613	0.2390	6816580773448291328	-0.5553	0.2754	-0.159	0.392	-6.991	0.378	0	9.7006e+02	1.4953e+00	18.2214	0.0017	7.5150e+02	2.6404e+01	18.1616	0.0381	7.4672e+02	1.9283e+01	17.5790	0.0280	0.5825							
325.1015691774722	-23.2022371108400	325.10156483294	0.2448	-23.20226811182	0.2587	6816580773446198016	0.0456	0.2952	-0.927	0.443	-7.200	0.398	0	8.7352e+02	1.6499e+00	18.3352	0.0021	7.0835e+02	2.4583e+01	18.2258	0.0377	7.5331e+02	2.8847e+01	17.5695	0.0416	0.6563							
325.1123841093237	-23.2011784747070	325.11238410932	21.0956	-23.20117847471	25.8302	6816580773446120320							0	1.1435e+02	1.9701e+00	20.5428	0.0187																
325.0985744276723	-23.2074221671007	325.09857442767	3.4939	-23.20742216710	4.7349	6816580769152297984							0	3.1362e+02	1.5797e+00	19.4473	0.0055																
